AGE_RANGE,YEARS_OF_PROFESSIONAL_EXPERIENCE
18-24,"8 - 10 years"
25-34,"8 - 10 years"
35-44,"8 - 10 years"
45-54,"8 - 10 years"
55-64,"8 - 10 years"
"65 or over","8 - 10 years"
18-24,"5-7 years"
25-34,"5-7 years"
35-44,"5-7 years"
45-54,"5-7 years"
55-64,"5-7 years"
"65 or over","5-7 years"
25-34,"41 years or more"
55-64,"41 years or more"
"65 or over","41 years or more"
"under 18","41 years or more"
18-24,"31 - 40 years"
25-34,"31 - 40 years"
35-44,"31 - 40 years"
45-54,"31 - 40 years"
55-64,"31 - 40 years"
"65 or over","31 - 40 years"
"under 18","31 - 40 years"
18-24,"21 - 30 years"
25-34,"21 - 30 years"
35-44,"21 - 30 years"
45-54,"21 - 30 years"
55-64,"21 - 30 years"
"65 or over","21 - 30 years"
"under 18","21 - 30 years"
18-24,"2 - 4 years"
25-34,"2 - 4 years"
35-44,"2 - 4 years"
45-54,"2 - 4 years"
55-64,"2 - 4 years"
"under 18","2 - 4 years"
18-24,"11 - 20 years"
25-34,"11 - 20 years"
35-44,"11 - 20 years"
45-54,"11 - 20 years"
55-64,"11 - 20 years"
"65 or over","11 - 20 years"
18-24,"1 year or less"
25-34,"1 year or less"
35-44,"1 year or less"
45-54,"1 year or less"
55-64,"1 year or less"
"under 18","1 year or less"
