INDUSTRY,COUNT(INDUSTRY)
"Computing or Tech",4625
"Education (Higher Education)",2442
Nonprofits,2393
"Government and Public Administration",1873
"Health care",1868
"Accounting; Banking & Finance",1770
"Engineering or Manufacturing",1674
"Marketing; Advertising & PR",1103
Law,1089
"Business or Consulting",837
"Education (Primary/Secondary)",827
"Media & Digital",767
Insurance,525
Retail,497
"Recruitment or HR",457
"Property or Construction",381
"Utilities & Telecommunications",350
"Art & Design",349
"Transport or Logistics",301
Sales,284
